EGID,GDEKT,GGDENR,GGDENAME,EGRID,LGBKR,LPARZ,LPARZSX,LTYP,GEBNR,GBEZ,GKODE,GKODN,GKSCE,GSTAT,GKAT,GKLAS,GBAUJ,GBAUM,GBAUP,GABBJ,GAREA,GVOL,GVOLNORM,GVOLSCE,GASTW,GANZWHG,GAZZI,GSCHUTZR,GEBF,GWAERZH1,GENH1,GWAERSCEH1,GWAERDATH1,GWAERZH2,GENH2,GWAERSCEH2,GWAERDATH2,GWAERZW1,GENW1,GWAERSCEW1,GWAERDATW1,GWAERZW2,GENW2,GWAERSCEW2,GWAERDATW2,GEXPDAT
1600034,ZH,1,Aeugst am Albis,,0,99999,,,,,2679223.809,1236003.412,909,1007,1020,1110,,,8014,1999,,,,,2,1,,,,7431,7530,869,2001-11-29,,,,,7630,7530,869,2001-11-29,,,,,2025-10-18
1600279,ZH,1,Aeugst am Albis,,0,99999,,,627,,2679020.833,1235899.835,909,1007,1020,1110,,,8012,1999,,,,,2,1,,,,7430,7530,869,2001-11-29,,,,,7650,7560,869,2001-11-29,,,,,2025-10-18
191947954,ZH,1,Aeugst am Albis,,0,1563,,,,,2679237.214,1236036.303,904,1008,1020,1110,,,,,169,,,,2,1,,0,,7410,7598,852,2021-04-01,7400,7500,852,2023-07-10,7600,7500,852,2023-07-10,7600,7500,852,2023-07-10,2025-10-18
191961046,ZH,1,Aeugst am Albis,CH170177872047,0,1203,,,K.A.,Gartenhaus,2679369.297,1235439.365,901,1004,1060,,,,,,5,,,,,,,0,,7400,7500,869,2021-09-03,7400,7500,869,2021-09-03,7600,7500,869,2021-09-03,7600,7500,869,2021-09-03,2025-10-18
191961053,ZH,1,Aeugst am Albis,CH257520770197,0,1951,,,1089,,2680099.5,1235044,904,1007,1060,,,,,2022,5,,,,,,,0,,7400,7500,869,2021-09-03,7400,7500,869,2021-09-03,7600,7500,869,2021-09-03,7600,7500,869,2021-09-03,2025-10-18
191961055,ZH,1,Aeugst am Albis,CH207701712036,0,934,,,K.A.,Schopf,2679756.574,1237500.14,901,1004,1060,,,,,,5,,,,,,,0,,7400,7500,869,2021-09-03,7400,7500,869,2021-09-03,7600,7500,869,2021-09-03,7600,7500,869,2021-09-03,2025-10-18
191961059,ZH,1,Aeugst am Albis,CH840120778941,0,290,,,K.A.,,2679151.56,1236053.26,901,1004,1060,,,,,,3,,,,,,,0,,7400,7500,869,2021-09-03,7400,7500,869,2021-09-03,7600,7500,869,2021-09-03,7600,7500,869,2021-09-03,2025-10-18
191961063,ZH,1,Aeugst am Albis,CH732077017155,0,1001,,,K.A.,,2679347.914,1237507.081,901,1004,1060,,,,,,4,,,,,,,0,,7400,7500,869,2021-09-03,7400,7500,869,2021-09-03,7600,7500,869,2021-09-03,7600,7500,869,2021-09-03,2025-10-18
191961064,ZH,1,Aeugst am Albis,CH270177762046,0,1387,,,K.A.,,2679065.996,1235755.898,901,1004,1060,,,,,,4,,,,,,,0,,7400,7500,869,2021-09-03,7400,7500,869,2021-09-03,7600,7500,869,2021-09-03,7600,7500,869,2021-09-03,2025-10-18
191961068,ZH,1,Aeugst am Albis,CH892077760159,0,727,,,K.A.,,2678443.778,1236300.969,901,1004,1060,,,,,,4,,,,,,,0,,7400,7500,869,2021-09-03,7400,7500,869,2021-09-03,7600,7500,869,2021-09-03,7600,7500,869,2021-09-03,2025-10-18
191961069,ZH,1,Aeugst am Albis,CH158720770101,0,1213,,,1215,,2678986.089,1235937.238,901,1004,1060,,,,,,5,,,,,,,0,,7400,7500,869,2021-09-03,7400,7500,869,2021-09-03,7600,7500,869,2021-09-03,7600,7500,869,2021-09-03,2025-10-18
191961071,ZH,1,Aeugst am Albis,CH470177882039,0,437,,,K.A.,,2679470.445,1235444.57,901,1004,1060,,,,,,4,,,,,,,0,,7400,7500,869,2021-09-03,7400,7500,869,2021-09-03,7600,7500,869,2021-09-03,7600,7500,869,2021-09-03,2025-10-18
191961073,ZH,1,Aeugst am Albis,CH140120777106,0,914,,,K.A.,,2679489.34,1237458.821,901,1004,1060,,,,,,4,,,,,,,0,,7400,7500,869,2021-09-03,7400,7500,869,2021-09-03,7600,7500,869,2021-09-03,7600,7500,869,2021-09-03,2025-10-18
191961076,ZH,1,Aeugst am Albis,CH107701772052,0,1733,,,K.A.,Anbau,2679354.006,1235607.505,901,1004,1060,,,,,,3,,,,,,,0,,7400,7500,869,2021-09-03,7400,7500,869,2021-09-03,7600,7500,869,2021-09-03,7600,7500,869,2021-09-03,2025-10-18
191965999,ZH,1,Aeugst am Albis,CH232077017131,0,936,,,1417,,2679736.062,1237462.218,901,1003,1020,1122,,,,,427,3072,969,859,3,8,,0,1280,7410,7598,869,2021-11-05,7400,7500,869,2023-06-26,7610,7598,869,2021-11-05,7600,7500,869,2023-06-26,2025-10-18
191973439,ZH,1,Aeugst am Albis,CH110178207786,0,1693,,,,,2679176.268,1235728.414,901,1002,1030,1122,,,,,135,553,962,859,2,3,,,135,7410,7501,869,2022-01-27,7400,7500,869,2022-01-27,7610,7501,869,2022-01-27,7600,7500,869,2022-01-27,2025-10-18
191979592,ZH,1,Aeugst am Albis,CH707701822027,0,913,,,,,2679435.245,1237483.582,901,1001,1020,1122,,,,,326,6800,969,869,4,7,,0,,7410,7510,852,2022-04-12,7400,7500,852,2022-04-12,7600,7500,852,2022-04-12,7600,7500,852,2022-04-12,2025-10-18
191991347,ZH,1,Aeugst am Albis,CH740120778084,0,1559,,,,,2679496.5,1237460.375,904,1008,1060,1274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-18
191991348,ZH,1,Aeugst am Albis,CH740120778084,0,1559,,,,,2679520.5,1237454.625,904,1008,1060,1274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-18
191991358,ZH,1,Aeugst am Albis,CH140120777106,0,1559,,,28a,,2679496.25,1237462.375,904,1001,1020,1122,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,2025-10-18
191991360,ZH,1,Aeugst am Albis,CH140120777106,0,1559,,,28b,,2679513.5,1237452.875,904,1001,1020,1122,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,2025-10-18
192002539,ZH,1,Aeugst am Albis,CH840120778050,0,1945,,,n.V.,Zweifamilienhaus,2678604.5,1235238.25,904,1008,1020,1121,,,,,165,1510,969,869,3,2,,0,334,7400,7500,852,2024-03-26,7400,7500,852,2024-03-26,7600,7500,852,2024-03-26,7600,7500,852,2024-03-26,2025-10-18
192002782,ZH,1,Aeugst am Albis,CH232077017824,0,1616,,,n.V.,MFH - Haus 1,2679223,1237505.125,904,1001,1020,1122,,,,,202,,,,4,3,,0,414,,,,,,,,,,,,,,,,,2025-10-18
192002784,ZH,1,Aeugst am Albis,CH232077017824,0,1616,,,n.V.,EFH Haus 2,2679242.5,1237498.875,904,1001,1020,1110,,,,,81,,,,4,1,,0,181,,,,,,,,,,,,,,,,,2025-10-18
192002786,ZH,1,Aeugst am Albis,CH232077017824,0,1616,,,n.V.,EFH Haus 3,2679258.25,1237503.625,904,1001,1020,1110,,,,,109,,,,4,1,,0,214,,,,,,,,,,,,,,,,,2025-10-18
192002787,ZH,1,Aeugst am Albis,CH232077017824,0,1616,,,n.V.,EFH Haus 4,2679213.5,1237475.375,904,1001,1020,1110,,,,,107,,,,4,1,,0,197,,,,,,,,,,,,,,,,,2025-10-18
192002788,ZH,1,Aeugst am Albis,CH232077017824,0,1616,,,n.V.,EFH Haus 5,2679229.75,1237478.625,904,1001,1020,1110,,,,,106,,,,4,1,,0,197,,,,,,,,,,,,,,,,,2025-10-18
